pid,public.0,void.0,testInvoke.0,throws.0,Exception.0,transport.0,setRemoteService.0,"""TravelProcess"".0",call.0,setOperation.0,"""initiate"".0",call.1,addParameter.0,"""x"".0",XMLType.0,XSD_STRING.0,ParameterMode.0,IN.0,call.2,setReturnType.0,XMLType.1,XSD_STRING.1,String.0,result.0,=.0,String.1,call.3,invoke.0,new.0,Object.0,"""anything"".0",assertEquals.0,DUMMY_RESULT.0,result.1,code,participant_summary
155,6,1,15,9,1,17,16,1,7,12,0,2,13,3,0,1,0,0,1,4,4,0,10,7,0,17,19,6,0,0,0,7,8,1,69,7
317,0,0,19,10,5,1,13,9,0,8,9,0,9,8,17,9,3,0,0,3,12,18,0,5,0,14,6,4,4,2,4,1,11,3,83,41
111,0,1,7,3,0,14,16,6,6,5,2,0,3,0,0,0,0,0,2,3,0,1,7,0,0,1,3,0,0,1,1,0,0,0,26,2
315,0,3,26,2,6,0,55,20,0,35,15,0,18,2,6,2,2,0,0,24,2,7,0,1,0,2,0,8,0,4,1,5,2,1,70,41
133,0,11,29,3,3,25,15,6,0,17,6,0,6,0,4,3,0,0,0,3,1,3,0,1,1,0,0,1,0,0,0,2,0,1,40,34
311,0,9,18,1,0,16,5,0,8,3,1,6,6,0,0,0,0,0,0,0,1,0,4,1,0,0,1,0,0,0,0,0,0,0,47,22
314,0,1,16,2,8,2,11,0,0,6,1,0,2,2,0,0,0,0,0,12,3,1,1,0,0,1,2,0,0,0,0,0,0,0,24,5
318,0,0,1,2,2,0,5,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41,28
147,0,1,11,5,4,20,12,0,4,19,9,5,11,3,7,0,0,0,0,4,3,0,1,5,0,4,9,4,0,3,0,6,5,0,44,45
191,1,4,22,3,3,21,18,4,3,17,12,3,2,6,11,1,2,0,0,6,2,0,1,0,0,1,1,4,1,7,0,1,5,0,77,24
312,0,0,2,0,0,1,8,0,0,1,3,0,3,1,3,0,3,0,0,0,1,8,0,0,0,1,0,0,0,0,2,0,0,3,19,3
