pid,public.0,void.0,testNegativeParseCases.0,verbose.0,"""--->Negative parse tests START"".100",for.0,int.0,i.0,=.0,0.0,i.1,<.0,negativeParseTests.0,length.0,i.2,parseFilter.0,negativeParseTests.1,i.3,FALSE.0,// This used to fail until the parser was rewritten with the stack.200,// stuff so that it can clean up partially parsed expression trees..201,checkDelete.0,code,participant_summary
136,0,0,7,1,0,0,0,1,0,0,0,0,7,0,0,13,29,0,0,0,0,7,69,4
176,0,4,10,5,0,1,6,1,0,1,0,0,16,0,0,10,27,0,0,0,0,0,50,9
155,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,24,6
117,5,4,21,2,0,1,13,1,1,1,2,1,15,0,0,10,16,0,0,0,0,2,59,15
166,0,1,4,3,0,0,0,0,0,0,2,0,4,0,0,6,9,0,0,0,0,6,17,14
317,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,2,0,2,8,15,3
168,0,0,0,0,2,0,3,1,0,3,0,1,4,0,0,1,2,0,0,0,0,0,47,30
319,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,42,20
186,0,0,1,0,0,0,3,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,25,0
182,1,4,14,9,8,3,2,0,0,0,0,1,4,0,1,3,8,0,0,0,0,0,40,13
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
129,0,8,15,3,1,0,0,2,2,0,1,0,5,2,0,10,6,0,1,0,0,0,36,19
111,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,18,10
315,0,0,25,0,0,0,0,0,1,0,1,1,27,0,0,14,18,0,0,0,0,3,38,43
133,0,8,26,0,2,0,12,0,0,3,0,3,36,3,0,3,9,0,0,0,0,0,57,43
143,0,2,9,0,0,0,5,1,0,0,1,2,5,2,0,5,0,0,0,0,0,0,37,27
311,1,1,21,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,4
314,0,0,8,0,0,0,5,0,0,0,0,0,5,1,0,4,3,0,0,0,0,0,17,7
106,2,3,37,4,0,1,0,0,2,2,0,0,24,1,0,14,26,1,0,0,0,0,38,35
318,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67
147,0,0,35,12,0,0,3,2,0,1,0,0,38,4,0,54,39,2,0,0,0,15,72,56
191,0,4,13,8,0,3,6,1,0,0,0,0,28,6,0,4,1,0,1,0,0,2,57,9
189,0,0,12,2,0,0,1,0,0,0,0,0,7,1,0,19,18,1,1,0,0,7,39,11
316,0,0,14,1,0,0,1,0,0,0,1,0,0,0,0,7,1,0,0,0,0,0,22,17
139,0,0,11,7,1,0,3,2,3,5,1,0,42,8,0,12,17,0,0,0,0,3,68,36
