pid,private.0,void.0,updateGain.0,int.0,pos.0,=.0,getValue.0,int.1,value.0,=.1,int.2,127.0,*.0,double.0,pos.1,/.0,100.0,MidiChannel.0,cs.0,=.2,synthesizer.0,getChannels.0,for.0,int.3,I.0,=.3,0.0,I.1,<.0,cs.1,length.0,i.0,cs.2,i.1,controlChange.0,7.0,value.1,code,participant_summary
136,0,2,6,0,9,0,6,1,11,0,5,3,0,8,4,1,0,13,1,0,7,0,0,0,0,2,8,1,2,1,7,0,0,0,45,3,0,78,11
155,0,2,6,4,2,0,1,3,6,1,3,1,0,5,0,1,0,5,0,0,1,1,3,0,4,4,1,1,0,1,1,0,2,0,5,2,2,27,13
117,6,2,7,13,0,0,4,7,4,0,6,2,0,3,0,0,0,3,1,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,34,26
166,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,2,0,1,0,0,5,2,1,6,1,0,1,2,4,6,0,5,1,1,25,20
317,0,0,0,0,0,0,1,0,1,0,3,0,0,0,2,0,1,2,0,0,5,2,0,1,1,0,0,1,1,1,7,2,0,0,22,1,1,77,41
168,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,1,0,0,0,0,1,1,0,0,0,1,0,0,3,0,0,47,3
319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,34,10
186,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,2,11,0
182,4,3,12,3,1,2,17,5,1,0,6,1,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,25
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
129,0,10,22,0,8,2,18,0,14,0,6,1,1,1,0,0,0,4,0,1,5,1,0,1,0,2,3,0,0,0,5,1,0,0,3,0,1,44,20
111,8,1,6,7,1,5,25,11,10,4,1,3,1,26,2,0,0,2,0,0,10,3,6,2,1,1,1,2,2,1,3,0,2,0,5,0,0,69,7
313,11,12,11,22,3,1,16,8,4,4,17,6,1,9,6,0,0,22,0,3,42,9,6,1,1,1,0,0,2,1,2,0,11,4,72,2,0,120,36
315,0,0,4,0,3,1,12,0,9,0,5,4,0,0,0,0,0,12,1,0,3,1,0,0,0,0,0,0,0,0,1,0,0,1,7,0,1,28,22
133,0,3,19,1,9,0,26,1,16,0,10,9,0,16,0,0,0,22,3,0,10,1,1,10,7,2,2,6,2,0,13,0,0,2,3,0,0,84,39
143,3,5,9,2,4,0,27,3,8,0,4,11,0,3,1,0,0,11,1,0,10,0,4,2,1,0,2,1,0,0,3,0,0,0,0,1,0,78,28
314,0,0,8,0,1,0,4,1,16,0,7,1,0,0,0,0,0,20,0,0,14,9,0,0,0,0,0,3,1,0,1,0,0,0,5,0,0,30,33
106,1,0,12,2,2,2,9,4,10,0,10,2,0,7,0,0,0,5,1,1,4,1,1,3,1,0,5,1,0,0,3,0,0,0,1,0,0,68,43
318,1,0,6,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,32,12
147,0,5,63,0,17,1,23,0,9,0,12,7,1,6,1,0,0,19,1,0,22,1,0,4,0,0,0,1,0,5,2,0,3,1,22,2,0,68,59
189,1,0,5,7,5,1,28,0,6,2,22,3,0,0,0,0,1,18,2,1,17,6,0,1,2,0,3,0,2,2,27,3,2,0,21,1,1,74,4
316,1,3,25,0,2,0,10,3,22,0,15,13,2,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,44,5
312,0,2,29,0,1,3,37,0,17,1,12,1,0,6,4,2,1,1,0,5,17,35,0,0,0,0,0,2,4,1,14,7,0,0,0,0,0,44,12
139,1,9,57,5,17,0,44,0,36,0,11,0,0,10,6,4,0,60,8,7,59,8,0,4,4,0,4,0,2,7,22,0,4,1,77,8,0,156,59
