pid,public.0,void.0,setGenJarDir.0,File.0,genJarDir.0,SandProject.0,proj.0,proj.1,getAntProject.0,setProperty.0,"""genJarDir"".0",genJarDir.1,toString.0,SandProject.1,downstream.0,=.0,proj.2,getRequiredBy.0,for.0,int.0,i.0,=.1,0.0,i.1,<.0,downstream.1,length.0,i.2,setGenJarDir.1,genJarDir.2,downstream.2,i.3,].0,code,participant_summary
136,0,0,0.01665800018236041,0.016673000063747168,0.0166680000256747,0.016667000018060207,0,0,0.0277793333451781,0.05083490000106394,0.043333999975584445,0.05833100003656,0,0.024480124993715435,0.03229318749799859,0,0.02999979997985065,0.029167250002501532,0,0.07222433341667056,0,0,0,0,0,0.0291670000879094,0,0,0.034804441192296934,0.05143886206446793,0.016666999785229564,0,0,0.7444191154029866,0.3981639999870418
176,0,0.07222333333144586,0.04963965216935005,0.05833728568229292,0.043335600011050704,0.09666920006275177,0.05833349993918091,0.016667000018060207,0.08055966667382529,0.06458675002795644,0.06416810001246631,0.03888966670880715,0,0.07833593334071338,0.031250375002855435,0,0.05833350005559623,0.06249949999619275,0,0.03889033334174504,0.08055883335570495,0,0,0.03333249990828335,0,0.038889533296848335,0.07847574999323115,0,0.09500433332286776,0.045140833380476884,0.06250125006772578,0,0,0.8333654999842111,0.31251120001543314
155,0,0,0.038333399989642206,0.06111266667721793,0.07500024998444133,0.06111266667721793,0,0,0.06250300000829156,0.044447666654984154,0.03809657142431076,0.020833499991567805,0,0.03333299997029826,0.09375200001522899,0.10000700003001839,0,0.016666000010445714,0,0,0,0,0,0,0,0,0,0,0.0814842222025618,0.03333419999107719,0.05416900001000613,0,0,1.088930733319527,0.08751050001592375
117,0.03148433333262801,0.03809595238306515,0.04361226665981424,0.0441675000009127,0.03395218518347031,0.025926444453135546,0.016666999959852546,0.04583699999784585,0.04603295238588804,0.04543814285785802,0.008333499994478188,0,0,0.038890222216852836,0.016666999959852546,0,0.03333300002850592,0,0,0.037500666648459934,0.01666799996746704,0,0,0.033335499989334494,0,0.033333999977912754,0.027779333322541788,0,0,0,0,0,0,1.0766040375005104,0.2825111666597271
166,0,0.04166700004134327,0,0.03958474996034056,0.041669500002171844,0,0,0.019444333350596327,0.028205615396683033,0.04000133334193379,0.0731508888873375,0,0,0.04473889474511931,0.031669600028544666,0,0.048612999982045345,0.07864925001922529,0,0.027778666699305177,0.01666666668218871,0,0,0,0,0.016671999939717352,0,0.04166700004134327,0.04660688890834098,0.0551309230683658,0.04047714286882963,0,0,0.8958662105509766,0.30001060869645974
317,0.016667000018060207,0.044446000014431775,0.025555466670387734,0.021875749986065784,0.0308346500096377,0.025001333337665226,0.020000400010030717,0.02500050002709031,0.03254064285872681,0.029425382716897416,0.03194541666986576,0.02738178572326433,0.01666728571789073,0.03281315624371928,0.02549041176269598,0.01111099999009942,0.024692148146978406,0.030483644734455372,0,0.03541874999064021,0.027778500008733116,0,0,0.04166999997687526,0.0166664999560453,0.022224333328065567,0.02878900000359863,0.016666999959852546,0.037256333335558424,0.023334200002718717,0.026470941183266834,0,0.016666999959852546,0.4567135742346463,0.07778088889770313
168,0,0,0.03888999998647099,0,0.027778666699305177,0.03333699998135368,0,0,0,0,0,0,0,0.04791924999153707,0.03332849996513687,0,0.016666000010445714,0,0,0.016667000018060207,0.024999499961268157,0,0,0.016660999972373247,0.016666000010445714,0.033332499995594844,0.04167049998068251,0,0.031482444455226265,0.025001666663835447,0,0.016666000010445714,0,0.5113530799932778,0.05694733335015675
319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0.03333300002850592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01667099999031052,0.01666650001425296,0,0,0,0,0,0,0,1.34587950000423,0.07436092308489606
182,0.04444866666259865,0.028333600016776473,0.05688695651327219,0.06190528570108914,0.03333600002224557,0,0,0.04762171429216063,0.040626208329437453,0.02000019999104552,0,0,0,0.04277853332071876,0.08889600000111386,0.0500009999377653,0.10000999999465421,0,0,0,0,0,0,0,0,0.04999950001365505,0,0,0,0,0,0,0,0.30375322448976694,0.502962900000081
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01667099993210286,0,0,0,0,0,0,0,0,0,0,0,0.03333200002089143,0,0,0,0,0,0,0,0.10238685713349176,0
129,0,0.020002799993380904,0.036957304345180644,0.03186388235361151,0.0454569999975237,0.03611300000920892,0.09444466671751191,0,0.04821599999143343,0.03819658333183421,0.03125050000380725,0.041671000013593584,0,0.039584624995768536,0.038097428573694615,0,0,0.0166680000256747,0,0.11667099996702746,0.02941317645737025,0,0,0.033332666692634426,0,0.029547227268763396,0.03333516668256683,0.01666799996746704,0.040477714276806055,0.06666899999254383,0.024999999994179234,0,0,0.7243958787946736,0.28376099999295545
111,0.032292749996486236,0.02976328571509969,0.04821614285694003,0.016667000003508292,0.05490341176268617,0.016669500000716653,0.0166659999958938,0.06333600000070874,0.020833500002481742,0.17084199999226257,0.05000599999038968,0,0,0.15834400001040194,0.03333299999455145,0,0.016666999988956377,0,0,0.035714857143050595,0.06666866667122424,0,0,0,0,0.01666750000003958,0,0,0,0,0,0,0,1.538944333336519,0.35834516666848987
313,0.03333299997029826,0.08333700001821853,0.05789721051941773,0.016666600009193643,0.01851922222542473,0.025002599999425,0,0.03889099999408548,0.03636431818515782,0.035834550004801714,0.03988228571480639,0.04666920000454411,0,0.0424256363581993,0.02083525000004253,0.020001000002957882,0.0314824444439081,0.03148227777112172,0.027777999998458352,0,0,0,0,0,0,0.023335499994573183,0.02222333332368483,0,0.029166749998694286,0.04444666667647349,0.04666880001896061,0,0,0.6571094499991886,0.1571046296319562
315,0,0,0.03529558823485037,0.0166680000256747,0.023335200001019983,0.022729909095108847,0.016667000018060207,0,0.02395912499196129,0.05000019997823983,0.054764999999731244,0,0,0,0.04166925000026822,0,0,0.029167250017053448,0,0,0.022225000022444874,0,0,0,0,0.04999725002562627,0.0416689999983646,0,0,0.11668099998496473,0,0,0,0.7410597307764244,0.1429545769239597
133,0.016666000010445714,0.04881185714510225,0.02333393331306676,0.025002500042319298,0.0427109375159489,0.03814196154081191,0.020000800024718046,0.022224333370104432,0.04383442000485957,0.05456495238468051,0.0452399999568505,0.014286714306633388,0,0.03485059092583304,0.03373066665205572,0,0.026191571411410614,0.03333350003231317,0,0.02222333336248994,0.06250219997018576,0,0,0.016667000018060207,0,0.02812631250708364,0.033336499938741326,0,0.0458346764652935,0.02944553333024184,0.03333483337579916,0,0,0.9939924615491591,0.332779436907957
143,0,0,0.034771827586468886,0.06111300000338815,0.027083249995484948,0.047502500002156015,0,0,0.03578576470916981,0.03452457142079116,0.08541850001347484,0.024999999994179234,0,0.02820569231810693,0.06666599996970035,0,0,0.016666999988956377,0,0,0.016672999976435676,0,0,0,0,0.0238101428590848,0,0,0.07778333334135823,0,0.016666999988956377,0,0,1.0170396800001618,0.4722399333375506
311,0,0.016667000018060207,0,0.029168000008212402,0.04000220000743866,0.01666677778121084,0,0.033334000036120415,0.03889008332043886,0.022225999971851707,0,0,0,0.038096928561571985,0.027778666699305177,0,0,0,0,0.01666799990925938,0.019445499987341464,0,0,0,0.016667000018060207,0.020001000002957882,0.016667000018060207,0,0.03796383333651142,0.036508666667422016,0.016667000018060207,0,0,0.5192013396332392,0.21565430611609576
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,0,0,0.09999700001208112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07592877777965946,0
147,0.016667000018060207,0.02727345453405922,0.03720357143486451,0.02307800000282721,0.044048523818630544,0.03974538460338058,0.03333800006657839,0.016665999894030392,0.04785888570893024,0.04198950000304299,0.033334333333186805,0,0,0.022222333354875445,0.05417125002713874,0,0.016667000018060207,0.03332399995997548,0,0.03750274999765679,0.016666000010445714,0,0,0,0,0.05714457142832024,0.0369055714192135,0,0.03393057140887582,0,0.01666666668218871,0,0,1.4847152954581277,0.3133458615334418
191,0.04500300001818687,0.02500050002709031,0.016668285725505223,0.020834125025430694,0.028030545450747013,0.04318336366718127,0.030000000027939677,0.016667000018060207,0.037965833325870335,0.021667799990003307,0.019444666660597756,0.025001666702640552,0.016665999894030392,0.1083385000238195,0.02381114285838391,0.01667100004851818,0.022222333354875445,0.029167166658832382,0,0.016666999901644886,0.020833250018768013,0,0,0,0,0.038888999998259045,0.01999880000948906,0,0.024167499993927775,0.03333300002850592,0.01666650001425296,0,0,0.6188026000047102,0.37455033333066645
189,0,0,0,0.016667499992763624,0.020834624992858153,0.03333366667114509,0,0,0.027194578940428694,0.021429000006589507,0.042047863636980765,0.022221999999601394,0,0.03889006666722707,0.03161031034763035,0,0.026666700001806022,0.03368859574510815,0,0.016666000010445714,0.03579647726821184,0,0,0.022549529407543185,0.022226333327125758,0.026424134146953115,0.03575409677362205,0.030799000006442402,0.03348578182102012,0.030683030303352454,0.028480604397143228,0.02500166667353672,0.03333557143508058,1.3020362674419736,0.160262487181731
316,0,0.02333500001113862,0.03144775471707174,0.023809285726331706,0.03397488462192436,0.023810785712807307,0.016666999959852546,0,0.033809799998666026,0.039286285713647624,0.028000560004729776,0,0,0.023335600015707315,0.04166883335953268,0,0.07777900002353515,0.01666649998514913,0,0,0.03889099997468293,0,0,0,0.016671999997925013,0.016667000018060207,0,0,0,0,0,0,0,0.7011841666689078,0.2905237692291848
312,0,0,0.03636512120790554,0,0.027780666675729055,0,0,0,0.044446126986590645,0.041667285707912276,0.0306452258242174,0.016666000010445714,0,0,0.01666833332274109,0,0.008333499979926273,0.04111253333588441,0,0,0,0,0,0,0,0.016671999939717352,0,0,0,0,0,0,0,1.834328888876674,0.35152690907389944
139,0,0.01666650000061054,0.06555806666668408,0.041668200000094656,0.04722366666646849,0.06818400000024254,0,0.016665999999531778,0.06500240000015765,0.04881400000002551,0.048334800000156976,0.03240855555547265,0.07777899999988828,0.04697109090896199,0.044738210526319516,0,0.061277764705985595,0.08690748571441093,0,0.016666500001520035,0.03712172727269221,0,0,0,0,0.03809642857127723,0.026668700000118405,0,0.04298452631567335,0.04166766666639887,0.008335499999702733,0,0,0.9702743035715164,0.42589326315771214
