,BFSdist,abstractMatrix3D,actionPerformed,add,addPKColumn,addRotation,appendDeclarations,clearFieldersFromField,compareTo,createCacheFile,createChecklistItem,deleteCascade,equals,evaluate,exportXVRL,getBackCommand2,getClassNameForLookAndFeel,getEffect,getImageWithSource,getJSplitPane,getNAGString,getTargetServiceName,getUserNameFromCookie,go,goToRegistration,invalidateSession,liesBetween,makeUniqueParagraphForGlobalWithLength,messageSent,populateNewList,readFromFile,removeService,searchRecipe,selectBracketingEntries,setGenJarDir,setPhoto,setSecurityMode,setUpMrj,showLatestPlan,store,swapItems,test,testGetEmail,testInvoke,testMoveRFWithNullContainer,testNegativeParseCases,testOneTwoThreeCreateCycle,testSetExample,testSetWelcomeMsg,testValidateSeparationCount,toString,updateGain,updateSchema,visitRetStmt
argument_FD,0.0,0.2256984167324842,0.0,0.0,0.0,0.0756976249928507,0.0,0.0,0.0,0.0,0.0916702500398969,0.3147344625712621,0.0,0.0,0.1376445999427231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5716454663001911,0.0833309999434276,0.0444433333080571,0.0,0.0,0.0,0.2654888810634255,0.0,0.0,0.0,0.0416670000025381,0.5309134437180107,0.1486154166244279,0.0,0.0833332500151299,0.1750059999758377,0.2686607988563032,0.0,0.2413950166577702,0.1064842222646499,0.7445570328682636,0.0,0.0,1.004226255755686,0.2694515555566692,0.1672252667020073,0.0166660000104457,0.1711240999798365,0.0,0.2607288331879921,0.1750039999606087
assignment_FD,0.0,0.2625105000624897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0166660000104457,0.0500000000029103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comment_FD,0.0166670000180602,0.0584228333391365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3065651452727335,0.0,0.0,0.0,0.07619835697862831,0.0,0.0,0.0,0.0,0.0,0.0,0.08333100005984301,0.2696212473396695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0214290714294682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0166660000104457,0.0,0.0,0.0,0.0
conditional_statement_FD,1.192988287321319,0.0,1.7549683772893272,1.4947697675267946,0.0666784999775699,0.0,0.9271933504441696,0.3636956333872284,2.080091216799821,0.0,0.0,0.0,0.6929511666506478,0.0,0.1591334047788263,0.23483563687002817,0.1176598195242205,0.0833334999915675,0.4935893526757693,0.0166650000028312,0.5008441923810429,0.0,0.6286185001643987,0.6052987563796782,0.0,0.0,1.3466324312358529,0.0,0.6375297850310191,0.0,0.0,0.1638951667167323,0.9143025021664467,0.0,0.7708107212714437,0.8738219806398378,0.1206557026666508,0.0,0.0,0.0,0.305883343871171,0.0,0.0,0.0,0.0,0.3727613967723928,0.0,0.0,0.0,0.0,0.0583379999443421,0.3129447476211459,0.0,0.0166659998940303
conditionalblock_FD,1.2527704324535283,0.0,2.1327398103743818,0.3372127683170778,0.0,0.0,1.7219219065044218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12222753342551479,0.3517438333898701,0.4137485079022881,0.0,0.0,0.1333341666565196,0.0,0.0,0.0,1.056829594257919,0.0,0.0,0.0,0.0,1.3788267044673133,0.0,0.0,0.1363854904005934,0.0,0.0,0.0,1.6009277249078606,0.0,0.0,0.0,0.0,0.4209596625958852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0499996666330844,0.0,0.0,0.0
exceptionhandling_FD,0.0,0.0,0.0,0.0,0.2125121665109567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222223333548754,0.062497000006260295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0166669997852295,0.24932058342104318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0249995000194758,0.0,0.2034785250783896,0.1722295555583612,0.0,0.0499999999301508,0.0583379999734461,0.0,0.0500046666905594,0.0,0.2166754499696251,0.0,0.0,0.0250010000308975,0.0,0.0,0.0388889998042334,0.0,0.0,0.08333640000782899,0.0
externalclass_FD,0.0,0.0,0.0,0.0,0.0,0.0166675000218674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2028543861852988,0.0,0.0,0.0,0.0,0.0,0.0583354545418511,0.0,0.0,0.0,0.0570196315514437,0.0,0.0,0.0363112857116253,0.4316860000108133,0.0,0.0847225000325124,0.0,0.0,0.0291687499993713,0.0,0.0,0.0,0.0,0.0348502727204256,0.0380967142659106,0.3207439164966453,0.0,0.0,0.06111516663804639,0.0
externallydefinedvariableorfunction_FD,0.0,0.61008974962078,0.0,0.0,0.0416636667408358,0.0575030000472906,0.0,0.0,0.0,0.0,0.0,0.1476861389302129,0.0,0.0,0.0,0.0,0.0,0.0544148823537397,0.0,0.0,0.0,0.0,0.0,0.5639952445602011,0.7366966860080577,0.2169918205456471,0.0,0.0,0.1870896500993693,0.0800540681917812,0.0166660000104457,0.0,0.0,0.2168384789240917,0.0,0.1027826666346905,0.0503003452419458,0.0166669999889563,0.0291674999607494,0.2460108509937683,0.0,0.0,0.0,0.1600046999112235,0.0,0.1390905118643697,0.0,0.1089155528241664,0.0,0.0,0.0,0.0,0.2329379389902781,0.0
functioncall_FD,0.0,0.0,0.0,0.0,0.0166670000180602,0.0,0.0,0.0,0.0,0.0833323332869137,0.0166665000142529,0.3083999182605803,0.0,0.0,0.10439947218077969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5977504329477079,0.3599546304691771,0.0787222499878094,0.0,0.0,0.0,0.0222193332932268,0.0733250999939626,0.0,0.0,0.0,0.8942805481870674,0.40990016503685445,0.0722291666768593,0.1576432499932707,0.0342621110612526,0.3381192028594981,0.0,0.3436576930392587,0.0572485797372106,0.498055078709652,0.0,0.0,1.2111646398409799,0.112782129984504,0.18724362641534809,0.2688513344356099,0.0833380000258329,0.0,0.0742091110996191,0.0500035000732168
functiondeclaration_FD,0.45539915461849795,0.0944509999858887,0.5090636745857675,0.3511890424485919,0.0726901666817462,0.1400083998334592,0.6248698386485516,0.10521412506204789,0.2456451587128127,0.0,0.0305563333386089,0.0850014749623368,0.433102853056553,0.0,0.0837473313824054,0.2652916141178908,0.1605176744076497,0.1306899603133344,0.3958583589645869,0.1020878750096015,0.21428538274760928,0.0,0.1860850571908353,0.2950074663720439,0.0,0.1161175972303478,0.1321452999925894,0.0166664999851491,0.4562015603805884,0.067640285698756,0.0,0.0888928333394384,0.2597552447725662,0.0847284999957385,0.8972459991936065,0.3552217443387068,0.1393727682163072,0.082363433333133,0.1083380000200122,0.1666723332794693,0.104329428625463,0.35209725005067094,0.0208327500149607,0.3385388465207636,0.0,0.3824204763847581,0.37480118849611,0.1350082999095319,0.10729999101957721,0.11667049984389431,0.0166670000180602,0.5320378983365412,0.117387151448056,0.0
