Method Name,Original Column,Mapped Category
createCacheFile,protected.0,function declaration
createCacheFile,void.0,function declaration
createCacheFile,createCacheFile.0,function declaration
createCacheFile,Photo.0,parameter
createCacheFile,photo.0,parameter
createCacheFile,File.0,parameter
createCacheFile,photoCacheFile.0,parameter
createCacheFile,PhotoDimension.0,parameter
createCacheFile,dimension.0,parameter
createCacheFile,throws.0,exception handling
createCacheFile,IOException.0,exception handling
createCacheFile,OutputStream.0,variable declaration
createCacheFile,photoOS.0,variable declaration
createCacheFile,=.0,variable declaration
createCacheFile,new.0,variable declaration
createCacheFile,BufferedOutputStream.0,variable declaration
createCacheFile,new.1,variable declaration
createCacheFile,FileOutputStream.0,variable declaration
createCacheFile,photoCacheFile.1,variable declaration
createCacheFile,PhotoHelper.0,external class
createCacheFile,getInstance.0,function call
createCacheFile,writeUncachedThumbnail.0,function call
createCacheFile,photo.1,argument
createCacheFile,photoOS.1,argument
createCacheFile,photoOS.2,variable
createCacheFile,close.0,function call
getApplicableLaw,public.0,function declaration
getApplicableLaw,InfluenceLaw.0,function declaration
getApplicableLaw,getApplicableLaw.0,function declaration
getApplicableLaw,Influence.0,parameter
getApplicableLaw,inf.0,parameter
getApplicableLaw,if.0,conditional statement
getApplicableLaw,inf.1,conditional statement
getApplicableLaw,==.0,conditional statement
getApplicableLaw,nan.0,conditional statement
getApplicableLaw,throw.0,exception handling
getApplicableLaw,new.0,exception handling
getApplicableLaw,IllegalArgumentException.0,exception handling
getApplicableLaw,for.0,loop
getApplicableLaw,Iterator.0,loop
getApplicableLaw,iter.0,loop
getApplicableLaw,=.0,loop
getApplicableLaw,influenceLaws.0,loop
getApplicableLaw,iterator.0,loop
getApplicableLaw,iter.1,conditional statement
getApplicableLaw,hasNext.0,conditional statement
getApplicableLaw,InfluenceLaw.2,loop
getApplicableLaw,infLaw.0,loop
getApplicableLaw,=.1,loop
getApplicableLaw,InfluenceLaw.3,loop
getApplicableLaw,iter.2,loop
getApplicableLaw,next.0,loop
getApplicableLaw,if.1,conditional statement
getApplicableLaw,infLaw.1,conditional statement
getApplicableLaw,isApplicableTo.0,conditional statement
getApplicableLaw,inf.2,conditional statement
getApplicableLaw,return.0,return
getApplicableLaw,infLaw.2,return
getApplicableLaw,return.1,return
getApplicableLaw,nan.1,return
saveToFile,public.0,function declaration
saveToFile,void.0,function declaration
saveToFile,saveToFile.0,function declaration
saveToFile,File.0,parameter
saveToFile,f.0,parameter
saveToFile,try.0,exception handling
saveToFile,FileOutputStream.0,variable declaration
saveToFile,file.0,variable declaration
saveToFile,=.0,variable declaration
saveToFile,new.0,variable declaration
saveToFile,FileOutputStream.1,variable declaration
saveToFile,f.1,variable declaration
saveToFile,saveToFile.1,function call
