Participant,Quality,Method,AttentionSwitch
147,0,createCacheFile_50995324,0
315,0,getApplicableLaw_39298970,0
315,0,saveToFile_47571713,0
315,0,populateNewList_34427273,0
315,0,add_4114383,0
315,0,getTargetServiceName_29318894,0
315,0,actionPerformed_12725774,0
315,0,go_14477536,0
315,0,visitRetStmt_13482891,0
315,0,setPhoto_50994916,0
315,0,testOneTwoThreeCreateCycle_19507735,0
315,0,listen_29572299,0
315,0,clearFieldersFromField_45147874,0
315,0,testInvoke_39233866,0
315,0,getImageWithSource_1782360,0
315,0,setGenJarDir_31789275,0
315,0,getNAGString_43137003,0
315,0,getUserNameFromCookie_1694531,0
315,0,BFSdist_44521080,0
315,0,addPKColumn_51577053,0
315,0,appendDeclarations_36405409,0
315,0,updateGain_26215341,0
315,0,swapItems_36634895,0
315,0,updateSchema_4627680,0
314,0,readFromFile_16777940,0
314,0,updateSchema_4627680,0
314,0,getUserNameFromCookie_1694531,0
319,0,BFSdist_44521080,0
319,0,addPKColumn_51577053,0
319,0,clearFieldersFromField_45147874,0
319,0,isInvalidEmailLink_49250848,0
319,0,swapItems_36634895,0
319,0,updateSchema_4627680,0
319,0,getBackCommand2_29601536,0
136,0,add_4114383,0
136,0,testNegativeParseCases_31696447,0
136,0,clearFieldersFromField_45147874,0
312,0,saveSetting_46026508,0
312,0,appendDeclarations_36405409,0
312,0,addPKColumn_51577053,0
312,0,toString_39120328,0
312,0,listen_29572299,0
312,0,testCookieGreaterThan_39840471,0
312,0,play_41287529,0
312,0,BFSdist_44521080,0
312,0,removeService_38221424,0
312,0,getRodinDBStatus_19505695,0
312,0,getImageWithSource_1782360,0
312,0,readFromFile_16777940,0
312,0,addRotation_23014476,0
312,0,updateSchema_4627680,0
312,0,clearFieldersFromField_45147874,0
312,0,go_14477536,0
312,0,testSetExample_50891793,0
312,0,getClassNameForLookAndFeel_19218425,0
312,0,testSetWelcomeMsg_33719869,0
312,0,liesBetween_39299426,0
313,0,liesBetween_39299426,0
313,0,swapItems_36634895,0
313,0,listen_29572299,0
313,0,BFSdist_44521080,0
313,0,getImageWithSource_1782360,0
