Participant,Quality,Method
312,0,saveSetting_46026508
312,0,appendDeclarations_36405409
312,0,addPKColumn_51577053
312,0,toString_39120328
312,0,listen_29572299
312,0,testCookieGreaterThan_39840471
312,0,play_41287529
312,0,BFSdist_44521080
312,0,removeService_38221424
312,0,getRodinDBStatus_19505695
186,0,getImageWithSource_1782360
186,0,messageSent_19413001
186,0,BFSdist_44521080
186,0,setSecurityMode_38737384
317,0,updateSchema_4627680
122,0,getMenuAdministracion_28631042
122,0,clearFieldersFromField_45147874
122,0,equals_10222579
122,0,setPhoto_50994916
122,0,actionPerformed_12725774
122,0,getImageWithSource_1782360
122,0,listen_29572299
122,0,messageSent_19413001
122,0,updateSchema_4627680
122,0,swapItems_36634895
122,0,testGetEmail_33718481
122,0,addPKColumn_51577053
122,0,go_14477536
122,0,getApplicableLaw_39298970
122,0,testOneTwoThreeCreateCycle_19507735
122,0,add_4114383
122,0,makeUniqueParagraphForGlobalWithLength_34105249
314,1,setGenJarDir_31789275
318,1,toString_39120328
318,1,exportXVRL_45047585
318,1,equals_10222579
318,1,testNegativeParseCases_31696447
318,1,BFSdist_44521080
318,1,testValidateSeparationCount_26285656
318,1,add_4114383
318,1,makeUniqueParagraphForGlobalWithLength_34105249
318,1,createChecklistItem_49866815
318,1,go_14477536
318,1,testInvoke_39233866
318,1,setGenJarDir_31789275
318,1,addPKColumn_51577053
318,1,actionPerformed_12725774
318,1,updateGain_26215341
312,1,add_4114383
312,1,test_10_bug2689872_19498280
313,1,testNegativeParseCases_31696447
191,1,updateGain_26215341
168,1,getUserNameFromCookie_1694531
186,1,add_4114383
106,1,updateSchema_4627680
189,1,isInvalidEmailLink_49250848
122,1,BFSdist_44521080
122,1,testNegativeParseCases_31696447
122,1,setGenJarDir_31789275
155,1,testOneTwoThreeCreateCycle_19507735
311,1,updateGain_26215341
310,1,getImageWithSource_1782360
143,1,swapItems_36634895
147,1,testNegativeParseCases_31696447
319,1,testNegativeParseCases_31696447
168,1,appendDeclarations_36405409
133,1,exportXVRL_45047585
311,1,appendDeclarations_36405409
310,1,addPKColumn_51577053
310,1,equals_10222579
176,0,print_7957602
314,1,print_7957602
136,1,print_7957602
111,1,print_7957602
