Participant,Quality,Method,YearsCoding,Fixation_Ratio,Scanpath_Length
147,0,createCacheFile_50995324,4,0.4230769230769231,14.0
315,0,getApplicableLaw_39298970,10,0.6470588235294118,47.0
315,0,saveToFile_47571713,10,0.5769230769230769,60.0
315,0,populateNewList_34427273,10,0.8461538461538461,114.0
315,0,add_4114383,10,0.6470588235294118,91.0
315,0,getTargetServiceName_29318894,10,0.5263157894736842,71.0
315,0,actionPerformed_12725774,10,0.5434782608695652,73.0
315,0,go_14477536,10,0.6428571428571429,66.0
315,0,visitRetStmt_13482891,10,0.65,56.0
315,0,setPhoto_50994916,10,0.5098039215686274,44.0
315,0,testOneTwoThreeCreateCycle_19507735,10,0.7592592592592593,98.0
315,0,listen_29572299,10,0.6274509803921569,53.0
315,0,clearFieldersFromField_45147874,10,0.2432432432432432,32.0
315,0,testInvoke_39233866,10,0.7058823529411765,73.0
315,0,getImageWithSource_1782360,10,0.59375,49.0
315,0,setGenJarDir_31789275,10,0.4242424242424242,61.0
315,0,getNAGString_43137003,10,0.603448275862069,42.0
315,0,getUserNameFromCookie_1694531,10,0.5094339622641509,25.0
315,0,BFSdist_44521080,10,0.4193548387096774,60.0
315,0,addPKColumn_51577053,10,0.5151515151515151,50.0
315,0,appendDeclarations_36405409,10,0.5,91.0
315,0,updateGain_26215341,10,0.4054054054054054,52.0
315,0,swapItems_36634895,10,0.5128205128205128,67.0
315,0,updateSchema_4627680,10,0.4074074074074074,45.0
314,0,readFromFile_16777940,5,0.5,47.0
314,0,updateSchema_4627680,5,0.6296296296296297,28.0
314,0,getUserNameFromCookie_1694531,5,0.1886792452830188,18.0
319,0,BFSdist_44521080,11,0.064516129032258,17.0
319,0,addPKColumn_51577053,11,0.0303030303030303,3.0
319,0,clearFieldersFromField_45147874,11,0.027027027027027,1.0
319,0,isInvalidEmailLink_49250848,11,0.0416666666666666,3.0
319,0,swapItems_36634895,11,0.0256410256410256,1.0
319,0,updateSchema_4627680,11,0.1851851851851851,12.0
319,0,getBackCommand2_29601536,11,0.0909090909090909,10.0
136,0,add_4114383,5,0.3137254901960784,54.0
136,0,testNegativeParseCases_31696447,5,0.3181818181818182,22.0
136,0,clearFieldersFromField_45147874,5,0.3513513513513513,57.0
312,0,saveSetting_46026508,8,,
312,0,appendDeclarations_36405409,8,,
312,0,addPKColumn_51577053,8,,
312,0,toString_39120328,8,,
