Participant,Quality,Method,AttentionSwitch_CodetoSummary,AttentionSwitch_Token,YearsCoding,JavaExperience
155,2,testSetWelcomeMsg,,,5,2.0
166,2,testSetWelcomeMsg,,,6,4.0
168,2,testSetWelcomeMsg,,,4,2.0
311,1,testSetWelcomeMsg,31.0,126.0,9,5.0
318,2,testSetWelcomeMsg,,,7,5.0
147,1,testSetWelcomeMsg,15.0,242.0,4,1.0
312,0,testSetWelcomeMsg,1.0,81.0,8,1.0
319,1,getTargetServiceName,2.0,24.0,11,1.0
129,2,getTargetServiceName,,,1,1.0
315,0,getTargetServiceName,45.0,194.0,10,3.0
176,1,searchRecipe,5.0,321.0,4,4.0
186,2,searchRecipe,,,4,3.0
129,0,searchRecipe,32.0,281.0,1,1.0
143,2,searchRecipe,,,5,5.0
106,1,searchRecipe,40.0,1018.0,6,4.0
316,0,searchRecipe,13.0,137.0,13,4.0
139,2,searchRecipe,,,4,2.0
136,2,getBackCommand2,,,5,1.0
166,1,getBackCommand2,10.0,71.0,6,4.0
319,0,getBackCommand2,2.0,10.0,11,1.0
310,2,getBackCommand2,,,10,1.0
313,2,getBackCommand2,,,14,3.0
133,1,getBackCommand2,17.0,109.0,5,3.0
314,1,getBackCommand2,6.0,29.0,5,3.0
136,0,clearFieldersFromField,6.0,107.0,5,1.0
176,2,clearFieldersFromField,,,4,4.0
155,2,clearFieldersFromField,,,5,2.0
117,2,clearFieldersFromField,,,4,1.0
166,2,clearFieldersFromField,,,6,4.0
317,0,clearFieldersFromField,12.0,232.0,5,2.0
168,0,clearFieldersFromField,9.0,85.0,4,2.0
319,0,clearFieldersFromField,6.0,1.0,11,1.0
182,0,clearFieldersFromField,4.0,17.0,3,2.5
310,2,clearFieldersFromField,,,10,1.0
129,0,clearFieldersFromField,13.0,67.0,1,1.0
111,2,clearFieldersFromField,,,2,1.0
313,2,clearFieldersFromField,,,14,3.0
315,0,clearFieldersFromField,9.0,33.0,10,3.0
133,0,clearFieldersFromField,20.0,82.0,5,3.0
143,0,clearFieldersFromField,7.0,107.0,5,5.0
311,1,clearFieldersFromField,12.0,46.0,9,5.0
314,2,clearFieldersFromField,,,5,3.0
106,0,clearFieldersFromField,23.0,133.0,6,4.0
318,2,clearFieldersFromField,,,7,5.0
147,1,clearFieldersFromField,15.0,69.0,4,1.0
191,0,clearFieldersFromField,17.0,234.0,4,1.0
189,2,clearFieldersFromField,,,8,3.0
316,0,clearFieldersFromField,14.0,31.0,13,4.0
312,0,clearFieldersFromField,4.0,9.0,8,1.0
139,2,clearFieldersFromField,,,4,2.0
155,2,liesBetween,,,5,2.0
186,2,liesBetween,,,4,3.0
313,0,liesBetween,13.0,96.0,14,3.0
311,1,liesBetween,52.0,145.0,9,5.0
314,2,liesBetween,,,5,3.0
316,0,liesBetween,10.0,172.0,13,4.0
312,0,liesBetween,8.0,10.0,8,1.0
139,1,liesBetween,10.0,347.0,4,2.0
136,2,invalidateSession,,,5,1.0
176,0,invalidateSession,13.0,97.0,4,4.0
182,1,invalidateSession,24.0,136.0,3,2.5
139,2,invalidateSession,,,4,2.0
155,2,play,,,5,2.0
166,2,play,,,6,4.0
147,2,play,,,4,1.0
155,2,saveToFile,,,5,2.0
315,0,saveToFile,52.0,354.0,10,3.0
136,1,testValidateSeparationCount,8.0,129.0,5,1.0
186,1,testValidateSeparationCount,6.0,14.0,4,3.0
318,1,testValidateSeparationCount,18.0,32.0,7,5.0
136,1,setGenJarDir,14.0,363.0,5,1.0
176,1,setGenJarDir,15.0,299.0,4,4.0
155,2,setGenJarDir,,,5,2.0
117,1,setGenJarDir,20.0,353.0,4,1.0
166,2,setGenJarDir,,,6,4.0
317,1,setGenJarDir,27.0,1221.0,5,2.0
168,1,setGenJarDir,15.0,140.0,4,2.0
319,2,setGenJarDir,,,11,1.0
186,0,setGenJarDir,3.0,4.0,4,3.0
182,1,setGenJarDir,33.0,46.0,3,2.5
310,2,setGenJarDir,,,10,1.0
129,2,setGenJarDir,,,1,1.0
111,1,setGenJarDir,8.0,92.0,2,1.0
313,2,setGenJarDir,,,14,3.0
315,0,setGenJarDir,18.0,130.0,10,3.0
133,2,setGenJarDir,,,5,3.0
143,2,setGenJarDir,,,5,5.0
311,1,setGenJarDir,28.0,157.0,9,5.0
106,2,setGenJarDir,,,6,4.0
318,1,setGenJarDir,1.0,3.0,7,5.0
147,1,setGenJarDir,23.0,479.0,4,1.0
191,0,setGenJarDir,26.0,505.0,4,1.0
189,2,setGenJarDir,,,8,3.0
316,0,setGenJarDir,19.0,270.0,13,4.0
312,2,setGenJarDir,,,8,1.0
139,1,setGenJarDir,17.0,285.0,4,2.0
136,1,getUserNameFromCookie,4.0,166.0,5,1.0
176,2,getUserNameFromCookie,,,4,4.0
155,0,getUserNameFromCookie,19.0,123.0,5,2.0
317,2,getUserNameFromCookie,,,5,2.0
319,2,getUserNameFromCookie,,,11,1.0
186,2,getUserNameFromCookie,,,4,3.0
182,1,getUserNameFromCookie,35.0,67.0,3,2.5
310,2,getUserNameFromCookie,,,10,1.0
129,2,getUserNameFromCookie,,,1,1.0
111,2,getUserNameFromCookie,,,2,1.0
313,2,getUserNameFromCookie,,,14,3.0
315,0,getUserNameFromCookie,29.0,162.0,10,3.0
133,0,getUserNameFromCookie,31.0,222.0,5,3.0
143,2,getUserNameFromCookie,,,5,5.0
311,0,getUserNameFromCookie,9.0,28.0,9,5.0
314,0,getUserNameFromCookie,1.0,18.0,5,3.0
106,2,getUserNameFromCookie,,,6,4.0
318,2,getUserNameFromCookie,,,7,5.0
147,2,getUserNameFromCookie,,,4,1.0
191,1,getUserNameFromCookie,19.0,338.0,4,1.0
189,2,getUserNameFromCookie,,,8,3.0
316,2,getUserNameFromCookie,,,13,4.0
139,0,getUserNameFromCookie,17.0,251.0,4,2.0
168,1,exportXVRL,13.0,385.0,4,2.0
310,2,exportXVRL,,,10,1.0
129,2,exportXVRL,,,1,1.0
318,1,exportXVRL,19.0,31.0,7,5.0
147,1,exportXVRL,26.0,442.0,4,1.0
176,2,getRemoteObject,,,4,4.0
117,0,getRemoteObject,19.0,122.0,4,1.0
313,2,getRemoteObject,,,14,3.0
314,2,getRemoteObject,,,5,3.0
316,0,getRemoteObject,19.0,57.0,13,4.0
139,2,getRemoteObject,,,4,2.0
136,1,go,12.0,390.0,5,1.0
176,2,go,,,4,4.0
155,2,go,,,5,2.0
117,0,go,11.0,201.0,4,1.0
166,2,go,,,6,4.0
317,0,go,10.0,166.0,5,2.0
168,2,go,,,4,2.0
319,2,go,,,11,1.0
186,0,go,8.0,199.0,4,3.0
