Participant,Quality,Method,Fixation_Count
176,0,setSecurityMode,40
317,0,setSecurityMode,49
191,1,setSecurityMode,163
316,0,setSecurityMode,130
136,2,BFSdist,184
176,2,BFSdist,104
155,0,BFSdist,231
117,2,BFSdist,71
166,1,BFSdist,175
317,1,BFSdist,300
168,0,BFSdist,120
319,0,BFSdist,6
182,1,BFSdist,84
310,1,BFSdist,0
129,1,BFSdist,197
111,1,BFSdist,31
313,0,BFSdist,161
315,0,BFSdist,107
133,1,BFSdist,114
143,2,BFSdist,102
311,1,BFSdist,134
314,1,BFSdist,38
106,1,BFSdist,1
318,1,BFSdist,8
147,1,BFSdist,149
191,0,BFSdist,73
189,0,BFSdist,204
316,0,BFSdist,182
139,2,BFSdist,406
166,2,handleHalt,34
310,0,handleHalt,0
189,0,handleHalt,28
117,2,testOneTwoThreeCreateCycle,55
166,1,testOneTwoThreeCreateCycle,72
317,2,testOneTwoThreeCreateCycle,177
168,1,testOneTwoThreeCreateCycle,45
111,1,testOneTwoThreeCreateCycle,115
315,0,testOneTwoThreeCreateCycle,304
143,1,testOneTwoThreeCreateCycle,141
314,2,testOneTwoThreeCreateCycle,244
312,2,testOneTwoThreeCreateCycle,235
139,2,testOneTwoThreeCreateCycle,307
136,2,updateSchema,44
176,0,updateSchema,53
155,2,updateSchema,39
117,0,updateSchema,58
166,1,updateSchema,40
317,0,updateSchema,9
168,1,updateSchema,38
319,0,updateSchema,11
186,0,updateSchema,6
182,0,updateSchema,17
310,2,updateSchema,0
129,0,updateSchema,16
111,2,updateSchema,19
313,0,updateSchema,175
315,0,updateSchema,54
133,0,updateSchema,69
143,0,updateSchema,33
311,2,updateSchema,62
314,0,updateSchema,155
318,2,updateSchema,1
147,1,updateSchema,118
191,2,updateSchema,35
189,2,updateSchema,101
316,2,updateSchema,78
312,0,updateSchema,38
155,0,evaluate,15
117,2,evaluate,55
317,2,evaluate,0
319,1,evaluate,15
186,0,evaluate,12
314,2,evaluate,85
155,2,onAttach,103
117,0,onAttach,31
310,2,onAttach,3
147,2,onAttach,92
155,2,saveToFile,71
315,0,saveToFile,220
186,2,saveSetting,129
133,2,saveSetting,52
311,2,saveSetting,19
189,2,saveSetting,176
316,2,saveSetting,46
136,2,getImageWithSource,50
176,0,getImageWithSource,47
155,0,getImageWithSource,10
117,0,getImageWithSource,46
166,2,getImageWithSource,27
317,2,getImageWithSource,47
168,1,getImageWithSource,84
319,2,getImageWithSource,8
182,1,getImageWithSource,12
129,0,getImageWithSource,70
111,2,getImageWithSource,0
313,0,getImageWithSource,85
315,0,getImageWithSource,93
133,2,getImageWithSource,123
143,0,getImageWithSource,29
311,0,getImageWithSource,54
314,2,getImageWithSource,67
106,1,getImageWithSource,47
318,2,getImageWithSource,8
147,1,getImageWithSource,109
191,2,getImageWithSource,113
189,2,getImageWithSource,86
316,0,getImageWithSource,43
312,0,getImageWithSource,43
139,0,getImageWithSource,93
168,2,bug2689872,218
311,2,bug2689872,192
106,2,bug2689872,18
318,2,bug2689872,0
136,1,setGenJarDir,167
176,1,setGenJarDir,203
155,2,setGenJarDir,56
117,1,setGenJarDir,207
166,2,setGenJarDir,149
317,1,setGenJarDir,565
168,1,setGenJarDir,40
319,2,setGenJarDir,0
186,0,setGenJarDir,4
182,1,setGenJarDir,103
310,2,setGenJarDir,2
129,2,setGenJarDir,172
111,1,setGenJarDir,87
313,2,setGenJarDir,222
315,0,setGenJarDir,81
133,2,setGenJarDir,354
143,2,setGenJarDir,107
311,1,setGenJarDir,121
106,2,setGenJarDir,0
318,1,setGenJarDir,1
147,1,setGenJarDir,198
191,0,setGenJarDir,159
189,2,setGenJarDir,619
316,0,setGenJarDir,201
312,2,setGenJarDir,199
139,1,setGenJarDir,244
136,1,appendDeclarations,65
176,2,appendDeclarations,201
155,0,appendDeclarations,182
117,2,appendDeclarations,57
166,1,appendDeclarations,108
317,2,appendDeclarations,278
168,1,appendDeclarations,90
319,1,appendDeclarations,9
186,1,appendDeclarations,116
182,1,appendDeclarations,54
310,0,appendDeclarations,15
111,1,appendDeclarations,81
313,1,appendDeclarations,215
315,0,appendDeclarations,132
133,2,appendDeclarations,50
143,2,appendDeclarations,102
311,1,appendDeclarations,56
314,2,appendDeclarations,57
106,1,appendDeclarations,110
318,2,appendDeclarations,29
147,1,appendDeclarations,108
191,1,appendDeclarations,95
189,2,appendDeclarations,142
316,0,appendDeclarations,120
139,2,appendDeclarations,497
317,2,makeUniqueParagraphForGlobalWithLength,53
318,1,makeUniqueParagraphForGlobalWithLength,5
117,0,getEffect,65
129,0,getEffect,133
313,1,getEffect,16
143,1,getEffect,130
314,2,getEffect,218
191,2,getEffect,97
319,0,isInvalidEmailLink,2
111,2,isInvalidEmailLink,27
143,2,isInvalidEmailLink,12
318,2,isInvalidEmailLink,0
136,1,testValidateSeparationCount,73
186,1,testValidateSeparationCount,12
318,1,testValidateSeparationCount,11
186,2,toString,78
143,2,toString,25
311,2,toString,56
318,1,toString,59
136,2,setPhoto,120
117,0,setPhoto,164
166,1,setPhoto,89
168,0,setPhoto,4
182,2,setPhoto,103
129,2,setPhoto,55
315,0,setPhoto,135
133,1,setPhoto,292
106,1,setPhoto,165
191,1,setPhoto,326
136,1,deleteCascade,102
317,1,deleteCascade,147
319,2,deleteCascade,5
111,2,deleteCascade,71
143,0,deleteCascade,106
310,1,testMoveRFWithNullContainer,5
129,0,testMoveRFWithNullContainer,69
316,0,testMoveRFWithNullContainer,53
176,0,getBackCommand22,53
129,2,getBackCommand22,31
139,0,getBackCommand22,239
155,2,testInvoke,188
317,2,testInvoke,207
111,2,testInvoke,82
315,0,testInvoke,249
133,2,testInvoke,141
311,2,testInvoke,80
314,1,testInvoke,71
318,1,testInvoke,22
147,1,testInvoke,155
191,2,testInvoke,162
312,1,testInvoke,40
155,2,testSetWelcomeMsg,109
166,2,testSetWelcomeMsg,24
168,2,testSetWelcomeMsg,46
311,1,testSetWelcomeMsg,101
318,2,testSetWelcomeMsg,0
147,1,testSetWelcomeMsg,144
312,0,testSetWelcomeMsg,86
168,1,readFromFile,14
311,2,readFromFile,56
314,0,readFromFile,159
191,0,readFromFile,103
189,0,readFromFile,88
312,0,readFromFile,38
168,0,getMenuAdministracion,55
129,2,getMenuAdministracion,146
313,2,getMenuAdministracion,121
314,2,getMenuAdministracion,132
139,0,getMenuAdministracion,147
155,0,addRotation,49
182,2,addRotation,118
310,2,addRotation,4
111,2,addRotation,104
311,1,addRotation,195
191,0,addRotation,135
189,0,addRotation,178
312,0,addRotation,85
317,2,getClassNameForLookAndFeel,54
314,1,getClassNameForLookAndFeel,93
106,2,getClassNameForLookAndFeel,101
147,1,getClassNameForLookAndFeel,144
191,0,getClassNameForLookAndFeel,98
312,0,getClassNameForLookAndFeel,101
168,1,exportXVRL,99
310,2,exportXVRL,44
129,2,exportXVRL,100
133,1,exportXVRL,111
318,1,exportXVRL,15
147,1,exportXVRL,189
155,2,liesBetween,107
186,2,liesBetween,0
313,0,liesBetween,88
311,1,liesBetween,98
314,2,liesBetween,60
316,0,liesBetween,82
312,0,liesBetween,24
139,1,liesBetween,279
176,2,populateNewList,103
117,0,populateNewList,171
182,2,populateNewList,65
310,2,populateNewList,47
111,0,populateNewList,139
315,0,populateNewList,327
147,1,populateNewList,134
191,2,populateNewList,110
319,1,createCacheFile,11
182,2,createCacheFile,112
314,2,createCacheFile,48
147,0,createCacheFile,131
