Participant,Quality,Method
147,0,createCacheFile_50995324
315,0,getApplicableLaw_39298970
315,0,saveToFile_47571713
315,0,populateNewList_34427273
315,0,add_4114383
315,0,getTargetServiceName_29318894
315,0,actionPerformed_12725774
315,0,go_14477536
315,0,visitRetStmt_13482891
315,0,setPhoto_50994916
315,0,testOneTwoThreeCreateCycle_19507735
315,0,listen_29572299
315,0,clearFieldersFromField_45147874
315,0,testInvoke_39233866
315,0,getImageWithSource_1782360
315,0,setGenJarDir_31789275
315,0,getNAGString_43137003
315,0,getUserNameFromCookie_1694531
315,0,BFSdist_44521080
315,0,addPKColumn_51577053
315,0,appendDeclarations_36405409
315,0,updateGain_26215341
315,0,swapItems_36634895
315,0,updateSchema_4627680
314,0,readFromFile_16777940
314,0,updateSchema_4627680
314,0,getUserNameFromCookie_1694531
319,0,BFSdist_44521080
319,0,addPKColumn_51577053
319,0,clearFieldersFromField_45147874
319,0,isInvalidEmailLink_49250848
319,0,swapItems_36634895
319,0,updateSchema_4627680
319,0,getBackCommand2_29601536
136,0,add_4114383
136,0,testNegativeParseCases_31696447
136,0,clearFieldersFromField_45147874
312,0,getImageWithSource_1782360
312,0,readFromFile_16777940
312,0,addRotation_23014476
312,0,updateSchema_4627680
312,0,clearFieldersFromField_45147874
312,0,go_14477536
312,0,testSetExample_50891793
312,0,getClassNameForLookAndFeel_19218425
312,0,testSetWelcomeMsg_33719869
312,0,liesBetween_39299426
313,0,liesBetween_39299426
313,0,swapItems_36634895
313,0,listen_29572299
313,0,BFSdist_44521080
313,0,getImageWithSource_1782360
313,0,updateSchema_4627680
313,0,messageSent_19413001
313,0,updateGain_26215341
313,0,store_20787007
313,0,createChecklistItem_49866815
313,0,actionPerformed_12725774
313,0,addPKColumn_51577053
191,0,addRotation_23014476
191,0,swapItems_36634895
191,0,readFromFile_16777940
191,0,setGenJarDir_31789275
191,0,addPKColumn_51577053
191,0,BFSdist_44521080
191,0,clearFieldersFromField_45147874
191,0,getClassNameForLookAndFeel_19218425
191,0,selectBracketingEntries_40936756
191,0,testNegativeParseCases_31696447
168,0,clearFieldersFromField_45147874
168,0,BFSdist_44521080
168,0,swapItems_36634895
168,0,getMenuAdministracion_28631042
168,0,add_4114383
168,0,setPhoto_50994916
186,0,setGenJarDir_31789275
186,0,updateSchema_4627680
186,0,evaluate_45130358
186,0,actionPerformed_12725774
186,0,addPKColumn_51577053
186,0,go_14477536
186,0,getRodinDBStatus_19505695
139,0,getMenuAdministracion_28631042
139,0,actionPerformed_12725774
139,0,getBackCommand22_40865212
139,0,go_14477536
139,0,store_20787007
139,0,updateGain_26215341
139,0,getImageWithSource_1782360
139,0,addPKColumn_51577053
139,0,testNegativeParseCases_31696447
139,0,getUserNameFromCookie_1694531
139,0,setUpMrj_14467418
316,0,updateGain_26215341
316,0,appendDeclarations_36405409
316,0,addPKColumn_51577053
316,0,getRemoteObject_50026101
316,0,setSecurityMode_38737384
316,0,getImageWithSource_1782360
316,0,testMoveRFWithNullContainer_19507414
316,0,searchRecipe_18421665
316,0,clearFieldersFromField_45147874
316,0,swapItems_36634895
316,0,setGenJarDir_31789275
316,0,showLatestPlan_18418213
316,0,liesBetween_39299426
316,0,BFSdist_44521080
317,0,clearFieldersFromField_45147874
317,0,actionPerformed_12725774
317,0,go_14477536
317,0,addPKColumn_51577053
317,0,testCookieGreaterThan_39840471
317,0,setSecurityMode_38737384
106,0,messageSent_19413001
106,0,clearFieldersFromField_45147874
106,0,addPKColumn_51577053
133,0,clearFieldersFromField_45147874
133,0,updateSchema_4627680
133,0,getUserNameFromCookie_1694531
133,0,updateGain_26215341
133,0,selectBracketingEntries_40936756
133,0,removeService_38221424
133,0,addPKColumn_51577053
133,0,swapItems_36634895
166,0,messageSent_19413001
166,0,addPKColumn_51577053
111,0,populateNewList_34427273
182,0,addPKColumn_51577053
182,0,updateSchema_4627680
182,0,getRodinDBStatus_19505695
182,0,clearFieldersFromField_45147874
182,0,go_14477536
182,0,messageSent_19413001
182,0,testNegativeParseCases_31696447
182,0,equals_10222579
189,0,BFSdist_44521080
189,0,createChecklistItem_49866815
189,0,handleHalt_19682824
189,0,readFromFile_16777940
189,0,addRotation_23014476
189,0,swapItems_36634895
129,0,getEffect_47571922
129,0,testNegativeParseCases_31696447
129,0,go_14477536
129,0,clearFieldersFromField_45147874
129,0,addPKColumn_51577053
129,0,updateSchema_4627680
129,0,searchRecipe_18421665
129,0,getImageWithSource_1782360
129,0,swapItems_36634895
129,0,testMoveRFWithNullContainer_19507414
117,0,getRemoteObject_50026101
117,0,updateSchema_4627680
117,0,getRodinDBStatus_19505695
117,0,getEffect_47571922
117,0,populateNewList_34427273
117,0,onAttach_1810081
117,0,getImageWithSource_1782360
117,0,go_14477536
117,0,createChecklistItem_49866815
117,0,setPhoto_50994916
117,0,updateGain_26215341
117,0,actionPerformed_12725774
155,0,getImageWithSource_1782360
155,0,getUserNameFromCookie_1694531
155,0,addRotation_23014476
155,0,swapItems_36634895
155,0,actionPerformed_12725774
155,0,removeService_38221424
155,0,BFSdist_44521080
155,0,appendDeclarations_36405409
155,0,evaluate_45130358
155,0,updateGain_26215341
311,0,swapItems_36634895
311,0,getUserNameFromCookie_1694531
311,0,addPKColumn_51577053
311,0,getImageWithSource_1782360
176,0,swapItems_36634895
176,0,add_4114383
176,0,invalidateSession_18354735
176,0,selectBracketingEntries_40936756
176,0,updateSchema_4627680
176,0,getBackCommand22_40865212
176,0,testGetEmail_33718481
176,0,getImageWithSource_1782360
176,0,equals_10222579
176,0,setSecurityMode_38737384
310,0,handleHalt_19682824
310,0,messageSent_19413001
310,0,appendDeclarations_36405409
143,0,clearFieldersFromField_45147874
143,0,getImageWithSource_1782360
143,0,deleteCascade_34604973
143,0,updateSchema_4627680
147,1,go_14477536
147,1,equals_10222579
147,1,appendDeclarations_36405409
147,1,testInvoke_39233866
147,1,getImageWithSource_1782360
147,1,exportXVRL_45047585
147,1,populateNewList_34427273
147,1,getClassNameForLookAndFeel_19218425
147,1,setGenJarDir_31789275
147,1,add_4114383
147,1,getNAGString_43137003
147,1,BFSdist_44521080
147,1,clearFieldersFromField_45147874
147,1,messageSent_19413001
147,1,updateGain_26215341
147,1,updateSchema_4627680
147,1,actionPerformed_12725774
147,1,addPKColumn_51577053
147,1,testSetWelcomeMsg_33719869
314,1,actionPerformed_12725774
314,1,getClassNameForLookAndFeel_19218425
314,1,BFSdist_44521080
314,1,equals_10222579
314,1,updateGain_26215341
314,1,messageSent_19413001
314,1,getJSplitPane_39233258
314,1,getBackCommand2_29601536
314,1,testInvoke_39233866
314,1,removeService_38221424
319,1,evaluate_45130358
319,1,visitRetStmt_13482891
319,1,actionPerformed_12725774
319,1,goToRegistration_47570692
319,1,appendDeclarations_36405409
319,1,createCacheFile_50995324
319,1,getTargetServiceName_29318894
